gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
919421424	22a66350-7947-4a49-84a3-39c7c1b0881f	urn:catalog:MSU:MR:MR.33688	Animalia	Chordata	Mammalia	Carnivora	Felidae				FAMILY	Felidae	Felidae		CR	unspecified		PRESENT		311e2740-f15a-11d8-b22f-b8a03c50a862									1930			1930	9703		PRESERVED_SPECIMEN	MSU	MR	MR.33688				CC0_1_0		Robert H. Bartlett		native	2024-04-29T09:03:07.922Z		
891041333	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/519142	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR		Limón	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.59504	-83.530469	704.0						2014-02-01	1	2	2014	2434982	2434982	HUMAN_OBSERVATION	iNaturalist	Observations	519142		canopalma	2014-02-03T15:52:21	CC_BY_NC_4_0	canopalma	canopalma			2024-10-28T16:17:38.437Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
865739381	5a659248-1f70-11e3-b2c5-00145eb45e9a		Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera onca		SPECIES	Panthera onca (Linnaeus, 1758)	Panthera onca (Linné, 1758)		CR			PRESENT		23539a57-1347-4dd3-af2a-cf9478563baa	9.95	-84.0											5219426	5219426	PRESERVED_SPECIMEN	MHNG	Mammals housed at MHNG, Geneva	MHNG-MAM-859.042				CC_BY_NC_4_0		Ch. d’Eternod			2024-01-24T18:36:13.425Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
859538705	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-38196	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor	costaricensis	SUBSPECIES	Puma concolor costaricensis (Merriam, 1901)	Puma concolor costaricensis		CR	Guapiles	Limon	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862									1915-08-01	1	8	1915	6164624	2435099	PRESERVED_SPECIMEN	AMNH	Mammals	M-38196				CC0_1_0				native	2024-04-29T10:40:01.107Z		
859535666	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-139827	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis	mearnsi	SUBSPECIES	Leopardus pardalis mearnsi (J.A.Allen, 1904)	Leopardus pardalis mearnsi		CR	Tapanti, Orosi	Cartago	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862									1942-03-14	14	3	1942	6164576	2434982	PRESERVED_SPECIMEN	AMNH	Mammals	M-139827	4027			CC0_1_0		C. F. Underwood		native	2024-04-29T10:40:02.149Z		
859534109	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-141989	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus wiedii	nicaraguae	SUBSPECIES	Leopardus wiedii nicaraguae (J.A.Allen, 1919)	Leopardus wiedii nicaraguae		CR	Canas Gordas, Agua Buena	Puntarenas	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862									1942-12-26	26	12	1942	6164540	2434950	PRESERVED_SPECIMEN	AMNH	Mammals	M-141989	4396			CC0_1_0		C. F. Underwood		native	2024-04-29T10:40:02.188Z		
859462251	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:MO-395	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma yagouaroundi	panamensis	SUBSPECIES	Puma yagouaroundi panamensis (J.A.Allen, 1904)	Puma yaguarondi panamensis		CR		San José	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862													6164641	2435146	PRESERVED_SPECIMEN	AMNH	Mammals	MO-395				CC0_1_0				native	2024-04-29T10:39:58.860Z		TAXON_MATCH_FUZZY
859442070	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-19211	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus tigrinus	oncilla	SUBSPECIES	Leopardus tigrinus oncilla (Thomas, 1903)	Leopardus tigrinus oncilla		CR	Pozo Azul	San Jose	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862									1902-05-14	14	5	1902	6164564	2434930	PRESERVED_SPECIMEN	AMNH	Mammals	M-19211				CC0_1_0		M. A. Carriker, Jr.	HOLOTYPE	native	2024-04-29T10:40:02.048Z		
859377946	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-139774	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma yagouaroundi	panamensis	SUBSPECIES	Puma yagouaroundi panamensis (J.A.Allen, 1904)	Puma yaguarondi panamensis		CR		San Jose	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862									1941-09-10	10	9	1941	6164641	2435146	PRESERVED_SPECIMEN	AMNH	Mammals	M-139774	4023			CC0_1_0		C. F. Underwood		native	2024-04-29T10:40:06.516Z		TAXON_MATCH_FUZZY
686473093	1d04e739-98a9-4e16-9970-8f8f3bf9e9e3	8f84e97e-1ed8-11e3-bfac-90b11c41863e	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera onca	centralis	SUBSPECIES	Panthera onca centralis (Mearns, 1901)	Panthera onca centralis		CR	DELICIAS DE UPALA, 2 KM N OF	Alajuela	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	10.96808	-85.05							1993-06-10	10	6	1993	5219432	5219426	PRESERVED_SPECIMEN	KU	KUM	145971				CC_BY_4_0		NONE			2024-10-02T16:32:54.271Z		
